location,date,New_Cases,New_Deaths,Reproduction_Rate,ICU_Patients,Hosp_Patients,Positive_Rate,People_Vaccinated,People_Fully_Vaccinated,Total_Boosters,Population,Population_Density,Extreme_Poverty
Netherlands,2022,4850688.0,1121.0,96.94,20601.0,123024.0,49.212,174406155.0,160322299.0,108247749.0,1597097742.0,47294.592,0.0
New Zealand,2020,2164.0,25.0,244.2,0.0,0.0,0.0,0.0,0.0,0.0,1578900400.0,5607.447999999999,0.0
New Zealand,2021,11959.0,26.0,375.15,0.0,0.0,0.0,545253095.0,412713647.0,7219588.0,1871099500.0,6645.19,0.0
New Zealand,2022,689349.0,312.0,134.8,0.0,0.0,0.0,371780380.0,351232918.0,157066209.0,476745900.0,1693.158,0.0
Northern Mariana Islands,2020,0.0,0.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,15751520.0,32606.816,0.0
Northern Mariana Islands,2021,0.0,0.0,0.0,0.0,0.0,16.761,0.0,0.0,0.0,19573580.0,40518.764,0.0
Norway,2020,49567.0,436.0,335.3,0.0,20460.0,4.306,8362.0,0.0,0.0,1699810619.0,4497.682,62.2
Norway,2021,344692.0,871.0,384.95,0.0,44251.0,19.481,895592656.0,664597021.0,47614135.0,1994954585.0,5278.63,73.0
Norway,2022,1014449.0,870.0,87.42,0.0,26192.0,51.402,388815467.0,360010659.0,238256852.0,508303497.0,1344.966,18.6
Pakistan,2020,482178.0,10176.0,330.74,0.0,0.0,24.4404,0.0,0.0,0.0,70037177919.0,79483.20300000001,1244.0
Pakistan,2021,813755.0,18757.0,356.37,0.0,0.0,17.3339,6085357300.0,3142203332.0,0.0,82197974085.0,93284.145,1460.0
Pakistan,2022,229687.0,1428.0,88.16,0.0,0.0,4.3632,4145187680.0,3211131588.0,87591621.0,20943593397.0,23768.289,372.0
Palau,2021,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2398968.0,6235.284000000001,0.0
Palau,2022,4032.0,6.0,75.37,0.0,0.0,0.0,0.0,0.0,0.0,1690182.0,4393.041,0.0
Papua New Guinea,2020,796.0,9.0,106.03,0.0,0.0,0.0,0.0,0.0,0.0,2617154435.0,5229.139999999999,0.0
Papua New Guinea,2021,35378.0,581.0,305.82,0.0,0.0,0.0,2381214.0,1175851.0,0.0,3328436825.0,6650.299999999999,0.0
