Region_x,Quarter_x,Country_x,New_Cases,New_Deaths,ICU_Patients,Hosp_Patients,People_Fully_Vaccinated,Extreme_Poverty,BU_ID,Country_y,Region_y,Quarter_y,SKU_NUMBER,SKU_AGE,Category,Revenue,Margin,Revenue_Rng
APJ,FY21Q2,Bhutan,94.0,0.0,0.0,0.0,0.0,136.5,11,United States,AMER,FY22Q3,444-BBCV,2,ACCESSORIES,161.87,65.72,Rev < 1k
APJ,FY21Q2,Brunei,3.0,2.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,450-AAYQ,9,ACCESSORIES,47827.53,33151.15,Rev > 1m
APJ,FY21Q2,Cambodia,117.0,0.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,450-AAYR,9,ACCESSORIES,36805.28,23851.86,Rev > 1m
APJ,FY21Q2,China,1463.0,1.0,0.0,0.0,0.0,63.7,11,United States,AMER,FY22Q3,450-ABJO,9,CABLE,7931.14,5400.54,Rev > 1m
APJ,FY21Q2,Fiji,9.0,1.0,0.0,0.0,0.0,127.4,11,United States,AMER,FY22Q3,450-ABJU,9,ACCESSORIES,23280.87,18168.34,Rev > 1m
APJ,FY21Q2,Hong Kong,2233.0,23.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,450-ABKO,9,CABLE,237.28,155.0,Rev < 1k
APJ,FY21Q2,India,1658731.0,35288.0,0.0,0.0,0.0,1929.2,11,United States,AMER,FY22Q3,450-AELT,8,ACCESSORIES,2910.84,1988.62,Rev > 1m
APJ,FY21Q2,Indonesia,97825.0,4331.0,0.0,0.0,0.0,518.7,11,United States,AMER,FY22Q3,450-AFDC,7,CABLE,170.95,77.05,Rev < 1k
APJ,FY21Q2,Japan,21698.0,503.0,1499.0,24458.0,0.0,0.0,11,United States,AMER,FY22Q3,450-AGCU,6,ACCESSORIES,101287.38,76688.36,Rev > 1m
APJ,FY21Q2,Laos,1.0,0.0,0.0,0.0,0.0,2065.7,11,United States,AMER,FY22Q3,450-AGCX,6,ACCESSORIES,145099.09,92256.23,Rev > 1m
APJ,FY21Q2,Malaysia,2905.0,22.0,649.0,24012.0,0.0,9.1,11,United States,AMER,FY22Q3,450-AHDJ,5,ACCESSORIES,73856.83,50292.31,Rev > 1m
APJ,FY21Q2,Maldives,3302.0,15.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,450-AHHE,4,ACCESSORIES,85464.79,54543.2,Rev > 1m
APJ,FY21Q2,Mongolia,253.0,0.0,0.0,0.0,0.0,45.5,11,United States,AMER,FY22Q3,450-AHMX,4,POWER SUPPLY,22.18,10.44,Rev < 1k
APJ,FY21Q2,Myanmar,202.0,0.0,0.0,0.0,0.0,582.4,11,United States,AMER,FY22Q3,450-AHOM,4,ACCESSORIES,549548.01,266568.31,Rev > 1m
APJ,FY21Q2,Nepal,19713.0,56.0,0.0,0.0,0.0,1365.0,11,United States,AMER,FY22Q3,450-AHVD,4,ACCESSORIES,19389.01,8095.71,Rev > 1m
APJ,FY21Q2,New Zealand,78.0,2.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,450-AHWI,4,POWER SUPPLY,3636.09,1998.01,Rev > 1m
APJ,FY21Q2,Pakistan,259202.0,5511.0,0.0,0.0,0.0,364.0,11,United States,AMER,FY22Q3,450-AJXE,2,CABLE,18.45,7.14,Rev < 1k
APJ,FY21Q2,Papua New Guinea,64.0,2.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,451-BBFS,9,BATTERY,6706.37,4797.77,Rev > 1m
APJ,FY21Q2,Philippines,84582.0,1444.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,451-BBFV,9,BATTERY,3858.77,2550.81,Rev > 1m
APJ,FY21Q2,Singapore,35104.0,11.0,545.0,42177.0,0.0,0.0,11,United States,AMER,FY22Q3,451-BBFX,9,BATTERY,14672.85,9677.734,Rev > 1m
APJ,FY21Q2,South Korea,3556.0,51.0,1940.0,0.0,0.0,18.2,11,United States,AMER,FY22Q3,451-BBKV,8,BATTERY,121216.79,45023.22,Rev > 1m
APJ,FY21Q2,Sri Lanka,2125.0,4.0,0.0,0.0,0.0,63.7,11,United States,AMER,FY22Q3,451-BBLH,8,BATTERY,6011.99,4420.78,Rev > 1m
APJ,FY21Q2,Taiwan,38.0,1.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,451-BBLJ,8,BATTERY,5373.33,4112.61,Rev > 1m
APJ,FY21Q2,Thailand,368.0,4.0,0.0,0.0,0.0,9.1,11,United States,AMER,FY22Q3,451-BBOR,7,BATTERY,4881.64,3091.374,Rev > 1m
APJ,FY21Q2,Timor,0.0,0.0,0.0,0.0,0.0,2757.3,11,United States,AMER,FY22Q3,451-BBQE,7,BATTERY,6556.08,4168.684,Rev > 1m
APJ,FY21Q2,Vietnam,288.0,3.0,0.0,0.0,0.0,182.0,11,United States,AMER,FY22Q3,451-BBSU,7,BATTERY,39531.27,25761.96,Rev > 1m
APJ,FY21Q3,Afghanistan,4640.0,257.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,451-BBSX,7,BATTERY,18324.0,11882.374,Rev > 1m
APJ,FY21Q3,Australia,10305.0,706.0,1948.0,24387.0,0.0,45.5,11,United States,AMER,FY22Q3,451-BBSY,7,BATTERY,33486.21,24532.84,Rev > 1m
APJ,FY21Q3,Bangladesh,168703.0,2794.0,0.0,0.0,0.0,1346.8,11,United States,AMER,FY22Q3,451-BBUJ,7,BATTERY,4719.5,3251.142,Rev > 1m
APJ,FY21Q3,Bhutan,247.0,0.0,0.0,0.0,0.0,136.5,11,United States,AMER,FY22Q3,451-BBUK,7,BATTERY,6117.95,4085.814,Rev > 1m
APJ,FY21Q3,Brunei,7.0,0.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,451-BBUM,7,BATTERY,1075.26,752.128,Rev > 1m
APJ,FY21Q3,Cambodia,52.0,0.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,451-BBUN,7,BATTERY,57072.42,35882.34,Rev > 1m
APJ,FY21Q3,China,1636.0,0.0,0.0,0.0,0.0,63.7,11,United States,AMER,FY22Q3,451-BBUP,7,BATTERY,9059.96,6301.21,Rev > 1m
APJ,FY21Q3,Fiji,7.0,1.0,0.0,0.0,0.0,127.4,11,United States,AMER,FY22Q3,451-BBUQ,7,BATTERY,16125.53,10004.03,Rev > 1m
