Region,Location,Year,New_Cases,New_Deaths,ICU_Patients,Hosp_Patients,People_Fully_Vaccinated,Extreme_Poverty
EMEA,Italy,2020,2107314.0,74190.0,408620.0,4128664.0,0.0,672.0
EMEA,Italy,2021,48280.0,1173.0,7705.0,76550.0,0.0,6.0
EMEA,Kazakhstan,2020,201196.0,2749.0,0.0,0.0,0.0,29.400000000000002
EMEA,Kazakhstan,2021,930697.0,15743.0,0.0,0.0,1157177352.0,36.5
EMEA,Kazakhstan,2022,321386.0,801.0,0.0,0.0,692362902.0,9.3
EMEA,Kyrgyzstan,2020,81034.0,1798.0,0.0,0.0,0.0,404.59999999999997
EMEA,Kyrgyzstan,2021,103655.0,1447.0,0.0,0.0,89272104.0,510.99999999999994
EMEA,Kyrgyzstan,2022,16279.0,189.0,0.0,0.0,69038827.0,130.2
EMEA,Luxembourg,2020,47763.0,497.0,4448.0,26443.0,0.0,62.400000000000006
EMEA,Luxembourg,2021,42540.0,192.0,4085.0,14986.0,216921.0,61.400000000000006
EMEA,Luxembourg,2022,113213.0,122.0,863.0,4747.0,460292.0,18.6
EMEA,Moldova,2020,144818.0,2985.0,0.0,0.0,0.0,59.800000000000004
EMEA,Moldova,2021,231337.0,6705.0,0.0,0.0,82555094.0,73.0
EMEA,Moldova,2022,138044.0,1171.0,0.0,0.0,75760046.0,18.6
EMEA,Netherlands,2020,806620.0,11482.0,109392.0,290190.0,0.0,0.0
EMEA,Netherlands,2021,2346892.0,9540.0,157466.0,402535.0,319378550.0,0.0
EMEA,Netherlands,2022,4850688.0,1121.0,20601.0,123024.0,160322299.0,0.0
EMEA,Northern Mariana Islands,2020,0.0,0.0,0.0,0.0,0.0,0.0
EMEA,Northern Mariana Islands,2021,0.0,0.0,0.0,0.0,0.0,0.0
EMEA,Norway,2020,49567.0,436.0,0.0,20460.0,0.0,62.2
EMEA,Norway,2021,344692.0,871.0,0.0,44251.0,664597021.0,73.0
EMEA,Norway,2022,1014449.0,870.0,0.0,26192.0,360010659.0,18.6
EMEA,Poland,2020,1294878.0,28554.0,0.0,1802938.0,0.0,0.0
EMEA,Poland,2021,2813337.0,68500.0,0.0,4057134.0,3338540343.0,0.0
EMEA,Poland,2022,1861406.0,18291.0,0.0,1196673.0,1751292980.0,0.0
EMEA,Portugal,2020,413839.0,6906.0,51460.0,329161.0,0.0,153.0
EMEA,Portugal,2021,246180.0,2860.0,15945.0,101524.0,22286951.0,51.0
EMEA,Portugal,2022,223851.0,431.0,325.0,5545.0,0.0,12.0
EMEA,Puerto Rico,2020,0.0,0.0,0.0,0.0,0.0,0.0
EMEA,Puerto Rico,2021,0.0,0.0,0.0,0.0,0.0,0.0
EMEA,Puerto Rico,2022,0.0,0.0,0.0,0.0,0.0,0.0
EMEA,Russia,2020,3127347.0,56271.0,0.0,0.0,0.0,33.6
EMEA,Russia,2021,7193058.0,246400.0,0.0,0.0,7747918500.0,36.5
EMEA,Russia,2022,7315614.0,59633.0,0.0,0.0,4451001496.0,9.3
EMEA,Slovakia,2020,274603.0,2138.0,13875.0,141000.0,0.0,210.7
EMEA,Slovakia,2021,959656.0,12754.0,87507.0,519836.0,31540280.0,230.99999999999997
EMEA,Slovakia,2022,969687.0,2431.0,19091.0,156527.0,0.0,56.0
EMEA,South Africa,2020,1057161.0,28469.0,26554.0,177759.0,0.0,6218.099999999999
EMEA,South Africa,2021,2320778.0,61571.0,51078.0,350481.0,930849414.0,6577.2
EMEA,South Africa,2022,240981.0,7896.0,2735.0,33286.0,956156393.0,1606.4999999999998
EMEA,Spain,2020,1938671.0,51578.0,265122.0,1469167.0,0.0,335.0
EMEA,Spain,2021,1077674.0,7953.0,287979.0,1141843.0,1099465123.0,172.0
EMEA,Spain,2022,1360222.0,4041.0,67410.0,456255.0,542814899.0,59.0
EMEA,Sweden,2020,437379.0,8979.0,54167.0,321825.0,0.0,167.5
EMEA,Sweden,2021,877405.0,6587.0,56074.0,335231.0,176250876.0,182.5
EMEA,Sweden,2022,1173068.0,3055.0,6447.0,109209.0,120604395.0,46.5
EMEA,Switzerland,2020,452296.0,7873.0,48897.0,268844.0,44.0,0.0
EMEA,Switzerland,2021,880319.0,4451.0,67756.0,311230.0,1085391378.0,0.0
EMEA,Switzerland,2022,2174694.0,1400.0,17294.0,158582.0,528966577.0,0.0
EMEA,Tajikistan,2020,13665.0,90.0,0.0,0.0,0.0,1176.0
EMEA,Tajikistan,2021,3828.0,35.0,0.0,0.0,35904094.0,1752.0
EMEA,Tajikistan,2022,293.0,0.0,0.0,0.0,30882376.0,446.4
EMEA,Turkey,2020,1385427.0,20881.0,0.0,0.0,0.0,59.2
EMEA,Turkey,2021,7273898.0,61480.0,0.0,0.0,8488239019.0,73.0
EMEA,Turkey,2022,5412181.0,15796.0,0.0,0.0,4729754315.0,18.6
EMEA,United Kingdom,2020,2491790.0,73569.0,249944.0,2501264.0,0.0,67.2
EMEA,United Kingdom,2021,531931.0,7438.0,24701.0,281430.0,53935047.0,2.4000000000000004
EMEA,United Kingdom,2022,277606.0,497.0,4129.0,183946.0,588903795.0,3.2
EMEA,United States Virgin Islands,2020,0.0,0.0,0.0,0.0,0.0,0.0
EMEA,United States Virgin Islands,2021,0.0,0.0,0.0,0.0,0.0,0.0
EMEA,United States Virgin Islands,2022,0.0,0.0,0.0,0.0,0.0,0.0
