Region,Quarter,Country,New_Cases,New_Deaths,ICU_Patients,Hosp_Patients,People_Fully_Vaccinated,Extreme_Poverty
APJ,FY21Q4,Timor,39.0,0.0,0.0,0.0,0.0,2757.3
APJ,FY21Q4,Vanuatu,1.0,0.0,0.0,0.0,0.0,1069.2
APJ,FY21Q4,Vietnam,480.0,0.0,0.0,0.0,0.0,182.0
APJ,FY22Q1,Afghanistan,4806.0,226.0,0.0,0.0,0.0,0.0
APJ,FY22Q1,Australia,995.0,0.0,93.0,3874.0,5426169.0,45.0
APJ,FY22Q1,Bangladesh,224725.0,3356.0,0.0,0.0,22171904.0,1346.8
APJ,FY22Q1,Bhutan,216.0,0.0,0.0,0.0,0.0,136.5
APJ,FY22Q1,Brunei,44.0,0.0,0.0,0.0,805.0,0.0
APJ,FY22Q1,Cambodia,12939.0,93.0,0.0,0.0,15144768.0,0.0
APJ,FY22Q1,China,1241.0,0.0,0.0,0.0,0.0,63.699999999999996
APJ,FY22Q1,Fiji,62.0,0.0,0.0,0.0,0.0,127.39999999999999
APJ,FY22Q1,Hong Kong,1403.0,31.0,0.0,0.0,9115973.0,0.0
APJ,FY22Q1,India,8431839.0,57706.0,0.0,0.0,634180293.0,1929.2
APJ,FY22Q1,Indonesia,616573.0,16003.0,0.0,0.0,236624629.0,518.7
APJ,FY22Q1,Japan,208046.0,4646.0,12260.0,116877.0,18112533.0,0.0
APJ,FY22Q1,Laos,713.0,0.0,0.0,0.0,324833.0,2065.7
APJ,FY22Q1,Malaysia,84296.0,348.0,8823.0,82705.0,0.0,2.5
APJ,FY22Q1,Maldives,14221.0,22.0,0.0,0.0,1136552.0,0.0
APJ,FY22Q1,Mongolia,34269.0,113.0,0.0,0.0,1272465.0,45.5
APJ,FY22Q1,Myanmar,3302.0,95.0,0.0,0.0,340000.0,582.4
APJ,FY22Q1,Nauru,0.0,0.0,0.0,0.0,0.0,0.0
APJ,FY22Q1,Nepal,52442.0,1254.0,0.0,0.0,0.0,1365.0
APJ,FY22Q1,New Zealand,310.0,1.0,0.0,0.0,1251088.0,0.0
APJ,FY22Q1,Pakistan,282305.0,6334.0,0.0,0.0,0.0,364.0
APJ,FY22Q1,Papua New Guinea,10146.0,98.0,0.0,0.0,0.0,0.0
APJ,FY22Q1,Philippines,516047.0,6634.0,0.0,0.0,2601384.0,0.0
APJ,FY22Q1,Samoa,1.0,0.0,0.0,0.0,0.0,0.0
APJ,FY22Q1,Singapore,1696.0,1.0,72.0,3565.0,34196090.0,0.0
APJ,FY22Q1,Solomon Islands,3.0,0.0,0.0,0.0,0.0,2284.1
APJ,FY22Q1,South Korea,44784.0,417.0,12304.0,0.0,4300367.0,18.2
APJ,FY22Q1,Sri Lanka,45701.0,373.0,0.0,0.0,31234.0,63.699999999999996
APJ,FY22Q1,Taiwan,229.0,5.0,0.0,0.0,0.0,0.0
APJ,FY22Q1,Thailand,48130.0,127.0,0.0,0.0,3511212.0,9.1
APJ,FY22Q1,Timor,2207.0,3.0,0.0,0.0,0.0,2757.3
APJ,FY22Q1,Tonga,0.0,0.0,0.0,0.0,0.0,0.0
APJ,FY22Q1,Tuvalu,0.0,0.0,0.0,0.0,0.0,13.2
APJ,FY22Q1,Vanuatu,3.0,1.0,0.0,0.0,0.0,1201.2
APJ,FY22Q1,Vietnam,1271.0,0.0,0.0,0.0,9407.0,182.0
APJ,FY22Q2,Afghanistan,86778.0,4052.0,0.0,0.0,2368962.0,0.0
APJ,FY22Q2,Australia,2776.0,0.0,532.0,4370.0,88777837.0,40.5
APJ,FY22Q2,Bangladesh,480983.0,9017.0,0.0,0.0,222369287.0,1346.8
APJ,FY22Q2,Bhutan,1434.0,1.0,0.0,0.0,3135556.0,136.5
APJ,FY22Q2,Brunei,112.0,0.0,0.0,0.0,698502.0,0.0
APJ,FY22Q2,Cambodia,63183.0,1282.0,0.0,0.0,236973961.0,0.0
APJ,FY22Q2,China,2264.0,3.0,0.0,0.0,0.0,63.699999999999996
APJ,FY22Q2,Cook Islands,1.0,0.0,0.0,0.0,29402.0,0.0
APJ,FY22Q2,Fiji,28543.0,231.0,0.0,0.0,370718.0,127.39999999999999
APJ,FY22Q2,Hong Kong,210.0,3.0,0.0,0.0,119186906.0,0.0
APJ,FY22Q2,India,12449024.0,204583.0,0.0,0.0,4847572268.0,1929.2
APJ,FY22Q2,Indonesia,1704006.0,46790.0,0.0,0.0,1126185776.0,518.7
APJ,FY22Q2,Japan,321411.0,4939.0,16966.0,146108.0,1188463823.0,0.0
APJ,FY22Q2,Kiribati,2.0,0.0,0.0,0.0,0.0,0.0
APJ,FY22Q2,Laos,5162.0,6.0,0.0,0.0,14739911.0,2065.7
APJ,FY22Q2,Maldives,47474.0,148.0,0.0,0.0,15279882.0,0.0
APJ,FY22Q2,Mongolia,128176.0,694.0,0.0,0.0,97653274.0,45.5
APJ,FY22Q2,Myanmar,151643.0,5733.0,0.0,0.0,3604218.0,582.4
APJ,FY22Q2,Nauru,0.0,0.0,0.0,0.0,19068.0,0.0
APJ,FY22Q2,Nepal,369922.0,6555.0,0.0,0.0,41036477.0,1365.0
APJ,FY22Q2,New Zealand,258.0,0.0,0.0,0.0,32596872.0,0.0
APJ,FY22Q2,Pakistan,204292.0,5403.0,0.0,0.0,35190221.0,364.0
APJ,FY22Q2,Papua New Guinea,6676.0,85.0,0.0,0.0,8352.0,0.0
APJ,FY22Q2,Philippines,543364.0,10488.0,0.0,0.0,130591023.0,0.0
APJ,FY22Q2,Samoa,0.0,0.0,0.0,0.0,52286.0,0.0
APJ,FY22Q2,Singapore,3716.0,7.0,203.0,18286.0,180404908.0,0.0
APJ,FY22Q2,Solomon Islands,0.0,0.0,0.0,0.0,30322.0,2284.1
APJ,FY22Q2,South Korea,75711.0,264.0,15077.0,0.0,337910513.0,18.2
APJ,FY22Q2,Sri Lanka,198516.0,3702.0,0.0,0.0,67148963.0,63.699999999999996
APJ,FY22Q2,Taiwan,14534.0,775.0,0.0,0.0,4187667.0,0.0
APJ,FY22Q2,Thailand,513222.0,4476.0,0.0,0.0,179679942.0,9.1
APJ,FY22Q2,Timor,8468.0,23.0,0.0,0.0,272519.0,2757.3
APJ,FY22Q2,Tonga,0.0,0.0,0.0,0.0,17664.0,0.0
APJ,FY22Q2,Tuvalu,0.0,0.0,0.0,0.0,0.0,300.3
APJ,FY22Q2,Vanuatu,0.0,0.0,0.0,0.0,114.0,1201.2
APJ,FY22Q2,Vietnam,138194.0,1126.0,0.0,0.0,12325841.0,182.0
APJ,FY22Q3,Afghanistan,9673.0,592.0,0.0,0.0,430744.0,0.0
APJ,FY22Q3,Australia,1588.0,0.0,298.0,1695.0,18968722.0,2.0
APJ,FY22Q3,Bangladesh,329047.0,7387.0,0.0,0.0,816172812.0,1346.8
APJ,FY22Q3,Bhutan,113.0,1.0,0.0,0.0,6833072.0,136.5
APJ,FY22Q3,Brunei,12619.0,83.0,0.0,0.0,6452618.0,0.0
APJ,FY22Q3,Cambodia,41736.0,1398.0,0.0,0.0,873162974.0,0.0
APJ,FY22Q3,China,4150.0,0.0,0.0,0.0,7855875000.0,63.699999999999996
APJ,FY22Q3,Cook Islands,0.0,0.0,0.0,0.0,33364.0,0.0
APJ,FY22Q3,Fiji,23481.0,443.0,0.0,0.0,4508510.0,127.39999999999999
APJ,FY22Q3,Hong Kong,382.0,1.0,0.0,0.0,330580543.0,0.0
APJ,FY22Q3,India,2646477.0,33930.0,0.0,0.0,17305989568.0,1929.2
APJ,FY22Q3,Indonesia,870841.0,51050.0,0.0,0.0,3975585926.0,518.7
APJ,FY22Q3,Japan,807649.0,3068.0,22424.0,174694.0,3865798401.0,0.0
APJ,FY22Q3,Kiribati,0.0,0.0,0.0,0.0,48105.0,0.0
APJ,FY22Q3,Laos,32809.0,55.0,0.0,0.0,46318994.0,2065.7
